species,plant_date,plant_type,dbh,plot_size
Ficus nitida :: Laurel Fig,2015-10-05 00:00:00.000000 UTC,Tree,45,3X4
Ulmus parvifolia :: Chinese Elm,1999-04-26 00:00:00.000000 UTC,Tree,40,6x9
Ginkgo biloba :: Maidenhair Tree,1990-11-09 00:00:00.000000 UTC,Tree,40,2X2
Prunus cerasifera :: Cherry Plum,1995-05-22 00:00:00.000000 UTC,Tree,40,2x2
Acer buergeranum :: Trident Maple,1992-06-11 00:00:00.000000 UTC,Tree,25,3X5
Melaleuca quinquenervia :: Cajeput,1997-04-22 00:00:00.000000 UTC,Tree,26,8x6
Agonis flexuosa :: Peppermint Willow,1991-10-17 00:00:00.000000 UTC,Tree,40,3X4
Agonis flexuosa :: Peppermint Willow,1992-01-10 00:00:00.000000 UTC,Tree,70,3X4
Lophostemon confertus :: Brisbane Box,2007-12-27 00:00:00.000000 UTC,Tree,50,2X2
Lophostemon confertus :: Brisbane Box,1984-03-19 00:00:00.000000 UTC,Tree,36,5x6
Acacia melanoxylon :: Blackwood Acacia,1992-06-03 00:00:00.000000 UTC,Tree,35,2X2
Eucalyptus sideroxylon :: Red Ironbark,1990-04-13 00:00:00.000000 UTC,Tree,45,3X4
Eucalyptus sideroxylon :: Red Ironbark,1990-04-02 00:00:00.000000 UTC,Tree,50,3X4
Corymbia ficifolia :: Red Flowering Gum,2008-02-24 00:00:00.000000 UTC,Tree,80,2X3
Corymbia ficifolia :: Red Flowering Gum,2008-02-24 00:00:00.000000 UTC,Tree,50,2X3
Washingtonia robusta :: Mexican Fan Palm,2003-04-03 00:00:00.000000 UTC,Tree,21,5X5
Washingtonia robusta :: Mexican Fan Palm,2003-04-03 00:00:00.000000 UTC,Tree,25,5X5
Arbutus 'Marina' :: Hybrid Strawberry Tree,1992-10-28 00:00:00.000000 UTC,Tree,35,3X4
Callistemon viminalis :: Weeping Bottlebrush,1992-06-03 00:00:00.000000 UTC,Tree,25,2X2
Platanus x hispanica :: Sycamore: London Plane,2017-11-14 00:00:00.000000 UTC,Tree,25,2X2
Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,1992-10-29 00:00:00.000000 UTC,Tree,35,3X4
Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,1992-10-29 00:00:00.000000 UTC,Tree,35,3X4
Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,1992-11-02 00:00:00.000000 UTC,Tree,80,3x4
Jacaranda mimosifolia :: Jacaranda,2014-12-22 00:00:00.000000 UTC,Tree,1,2X2
Lophostemon confertus :: Brisbane Box,2011-06-10 00:00:00.000000 UTC,Tree,1,4x6
Tristaniopsis laurina :: Swamp Myrtle,2012-10-24 00:00:00.000000 UTC,Tree,1,2x3
Tristaniopsis laurina :: Swamp Myrtle,2013-05-22 00:00:00.000000 UTC,Tree,2,2x2
Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,2014-03-27 00:00:00.000000 UTC,Tree,2,7x5
Ginkgo biloba 'Princeton Sentry' :: Princeton Sentry Maidenhair,2015-08-18 00:00:00.000000 UTC,Tree,2,3X6
Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',2011-03-12 00:00:00.000000 UTC,Tree,2,2X3
Tree(s) ::,1997-12-09 00:00:00.000000 UTC,Tree,3,2X2
Tree(s) ::,1997-06-12 00:00:00.000000 UTC,Tree,3,2x2
Tristania conferta ::,2006-02-28 00:00:00.000000 UTC,Tree,3,2X3
Acer rubrum :: Red Maple,2014-07-23 00:00:00.000000 UTC,Tree,3,2x3
Acer rubrum :: Red Maple,2008-04-22 00:00:00.000000 UTC,Tree,3,3X5
Quercus suber :: Cork Oak,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Quercus suber :: Cork Oak,2007-03-10 00:00:00.000000 UTC,Tree,3,3X4
